Date,PrevOpen,PrevHigh,PrevLow,PrevAdjClose,PrevVol,9MA,20MA,UpperBB,MidBB,LowerBB,SAR,ADX,MACD,MACDSIGNAL,MACDHIST,MOM,ROC,RSI,ATR,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_SLOPE,STDDEV,TSF,VAR,PrevIndOpen,PrevIndHigh,PrevIndLow,PrevIndClose,PrevIndVol,Open,Adj Close
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,31.446666717529297,31.850000381469727,31.389999389648438,31.259193420410156,1151400.0,13.050000190734863,12.5600004196167
2011-11-17,13.050000190734863,13.390000343322754,12.289999961853027,12.5600004196167,1912700.0,,,,,,,,,,,,,,,,,,,,,,31.479999542236328,31.793333053588867,31.136667251586914,30.805925369262695,2376000.0,12.5600004196167,12.6899995803833
2011-11-18,12.5600004196167,12.699999809265137,12.4399995803833,12.6899995803833,298700.0,,,,,,12.289999961853027,,,,,,,,,,,,,,,,31.196666717529297,31.40999984741211,30.726667404174805,30.539871215820312,1682100.0,12.699999809265137,12.579999923706055
2011-11-21,12.699999809265137,12.770000457763672,12.5,12.579999923706055,77300.0,,,,,,12.29819995880127,,,,,,,,,,,,,,,,30.969999313354492,31.213333129882812,30.71666717529297,30.326372146606445,1926600.0,12.510000228881836,12.550000190734863
2011-11-22,12.510000228881836,12.59000015258789,12.5,12.550000190734863,100300.0,,,,,,12.317071978759765,,,,,,,,,,,,,,,,32.14666748046875,32.40666580200195,31.989999771118164,31.774866104125977,3968400.0,12.5,12.539999961853027
2011-11-23,12.5,12.59000015258789,12.449999809265137,12.539999961853027,65700.0,,,,,,12.33518911791992,,,,,,,,,,,,,0.0546257849324159,,0.002983976379482556,32.163333892822266,32.810001373291016,32.163333892822266,32.20843505859375,2467800.0,12.539999961853027,12.550000190734863
2011-11-25,12.539999961853027,12.550000190734863,12.470000267028809,12.550000190734863,30600.0,,,,,,12.35258157151367,,,,,,,,,-0.20168066462495748,,,,0.055641510508920626,,0.0030959776917143245,32.34000015258789,32.573333740234375,32.1533317565918,31.719026565551758,1250100.0,13.399999618530273,13.010000228881836
2011-11-28,13.399999618530273,13.420000076293945,12.399999618530273,13.010000228881836,52400.0,,,,,,12.369278326963672,,,,,,,,,-0.0755363895394457,,,,0.1824938966332452,,0.033304022308385584,32.10333251953125,32.176666259765625,31.866666793823242,31.410282135009766,241800.0,14.0,13.010000228881836
2011-11-29,14.0,14.0,13.0,13.010000228881836,78800.0,12.917777803209093,,,,,12.399999618530273,,,,,,,,,0.18306539121016197,,,,0.22701547537997427,,0.0515360260619957,32.810001373291016,33.040000915527344,32.36333465576172,32.49419403076172,1764000.0,13.0,12.75
2011-11-30,13.0,13.0,12.59000015258789,12.75,35800.0,12.966666645473904,,,,,12.399999618530273,,,,,,,,,0.33768644151343086,,,,0.20826912920992605,,0.04337603018186087,33.22999954223633,33.22999954223633,32.84000015258789,32.52046585083008,1142700.0,13.489999771118164,12.869999885559082
